"Step","default vector 32c4 beta 0.9999 - train/lm_loss","default vector 32c4 beta 0.9999 - train/lm_loss__MIN","default vector 32c4 beta 0.9999 - train/lm_loss__MAX","default vector 32c1 beta 0.65 - train/lm_loss","default vector 32c1 beta 0.65 - train/lm_loss__MIN","default vector 32c1 beta 0.65 - train/lm_loss__MAX","default vector 32c2 beta 0.95 - train/lm_loss","default vector 32c2 beta 0.95 - train/lm_loss__MIN","default vector 32c2 beta 0.95 - train/lm_loss__MAX","default vector 8c1 ema zero init - train/lm_loss","default vector 8c1 ema zero init - train/lm_loss__MIN","default vector 8c1 ema zero init - train/lm_loss__MAX","default vector 8c2 ema expertwise beta 0.9 - train/lm_loss","default vector 8c2 ema expertwise beta 0.9 - train/lm_loss__MIN","default vector 8c2 ema expertwise beta 0.9 - train/lm_loss__MAX","baseline 32c4 - train/lm_loss","baseline 32c4 - train/lm_loss__MIN","baseline 32c4 - train/lm_loss__MAX","baseline 32c1 - train/lm_loss","baseline 32c1 - train/lm_loss__MIN","baseline 32c1 - train/lm_loss__MAX","baseline 8c2 - train/lm_loss","baseline 8c2 - train/lm_loss__MIN","baseline 8c2 - train/lm_loss__MAX","baseline 8c1 - train/lm_loss","baseline 8c1 - train/lm_loss__MIN","baseline 8c1 - train/lm_loss__MAX","baseline 32c2 - train/lm_loss","baseline 32c2 - train/lm_loss__MIN","baseline 32c2 - train/lm_loss__MAX"
"68","7.75","7.75","7.75","7.75","7.75","7.75","7.71875","7.71875","7.71875","7.25","7.25","7.25","7.15625","7.15625","7.15625","7.75","7.75","7.75","7.875","7.875","7.875","7.15625","7.15625","7.15625","7.21875","7.21875","7.21875","7.8125","7.8125","7.8125"
"69","7.75","7.75","7.75","7.75","7.75","7.75","7.75","7.75","7.75","7.1875","7.1875","7.1875","7.125","7.125","7.125","7.75","7.75","7.75","7.875","7.875","7.875","7.15625","7.15625","7.15625","7.1875","7.1875","7.1875","7.8125","7.8125","7.8125"
"70","7.71875","7.71875","7.71875","7.71875","7.71875","7.71875","7.71875","7.71875","7.71875","7.15625","7.15625","7.15625","7.0625","7.0625","7.0625","7.71875","7.71875","7.71875","7.84375","7.84375","7.84375","7.125","7.125","7.125","7.125","7.125","7.125","7.75","7.75","7.75"
"71","7.71875","7.71875","7.71875","7.75","7.75","7.75","7.75","7.75","7.75","7.125","7.125","7.125","7.0625","7.0625","7.0625","7.71875","7.71875","7.71875","7.8125","7.8125","7.8125","7.09375","7.09375","7.09375","7.125","7.125","7.125","7.8125","7.8125","7.8125"
"72","7.65625","7.65625","7.65625","7.75","7.75","7.75","7.71875","7.71875","7.71875","7.125","7.125","7.125","7.03125","7.03125","7.03125","7.71875","7.71875","7.71875","7.875","7.875","7.875","7.0625","7.0625","7.0625","7.125","7.125","7.125","7.75","7.75","7.75"
"73","7.65625","7.65625","7.65625","7.71875","7.71875","7.71875","7.6875","7.6875","7.6875","7.125","7.125","7.125","7","7","7","7.65625","7.65625","7.65625","7.8125","7.8125","7.8125","7.0625","7.0625","7.0625","7.0625","7.0625","7.0625","7.75","7.75","7.75"
"74","7.65625","7.65625","7.65625","7.71875","7.71875","7.71875","7.65625","7.65625","7.65625","7.0625","7.0625","7.0625","7","7","7","7.65625","7.65625","7.65625","7.875","7.875","7.875","7.0625","7.0625","7.0625","7.0625","7.0625","7.0625","7.78125","7.78125","7.78125"
"75","7.65625","7.65625","7.65625","7.71875","7.71875","7.71875","7.65625","7.65625","7.65625","7.03125","7.03125","7.03125","6.96875","6.96875","6.96875","7.625","7.625","7.625","7.84375","7.84375","7.84375","7","7","7","7","7","7","7.75","7.75","7.75"
"76","7.65625","7.65625","7.65625","7.71875","7.71875","7.71875","7.625","7.625","7.625","7.03125","7.03125","7.03125","6.9375","6.9375","6.9375","7.65625","7.65625","7.65625","7.8125","7.8125","7.8125","6.9375","6.9375","6.9375","7","7","7","7.71875","7.71875","7.71875"
"77","7.59375","7.59375","7.59375","7.6875","7.6875","7.6875","7.59375","7.59375","7.59375","7","7","7","6.9375","6.9375","6.9375","7.59375","7.59375","7.59375","7.8125","7.8125","7.8125","6.9375","6.9375","6.9375","7","7","7","7.6875","7.6875","7.6875"
