"Step","baseline 8c1 dim 512 - train/lm_loss","baseline 8c1 dim 512 - train/lm_loss__MIN","baseline 8c1 dim 512 - train/lm_loss__MAX","default vector 8c1 ema dim 512 - train/lm_loss","default vector 8c1 ema dim 512 - train/lm_loss__MIN","default vector 8c1 ema dim 512 - train/lm_loss__MAX"
"399","4.71875","4.71875","4.71875","4.8125","4.8125","4.8125"
"400","4.71875","4.71875","4.71875","4.8125","4.8125","4.8125"
"401","4.75","4.75","4.75","4.8125","4.8125","4.8125"
"402","4.71875","4.71875","4.71875","4.8125","4.8125","4.8125"
"403","4.75","4.75","4.75","4.8125","4.8125","4.8125"
"404","4.71875","4.71875","4.71875","4.78125","4.78125","4.78125"
"405","4.71875","4.71875","4.71875","4.8125","4.8125","4.8125"
"406","4.71875","4.71875","4.71875","4.8125","4.8125","4.8125"
"407","4.75","4.75","4.75","4.8125","4.8125","4.8125"
"408","4.71875","4.71875","4.71875","4.8125","4.8125","4.8125"
"409","4.71875","4.71875","4.71875","4.78125","4.78125","4.78125"
"410","4.6875","4.6875","4.6875","4.75","4.75","4.75"
"411","4.71875","4.71875","4.71875","4.8125","4.8125","4.8125"
"412","4.71875","4.71875","4.71875","4.78125","4.78125","4.78125"
"413","4.75","4.75","4.75","4.78125","4.78125","4.78125"
"414","4.71875","4.71875","4.71875","4.8125","4.8125","4.8125"
"415","4.75","4.75","4.75","4.8125","4.8125","4.8125"
"416","4.71875","4.71875","4.71875","4.75","4.75","4.75"
"417","4.71875","4.71875","4.71875","4.8125","4.8125","4.8125"
"418","4.71875","4.71875","4.71875","4.8125","4.8125","4.8125"
"419","4.6875","4.6875","4.6875","4.78125","4.78125","4.78125"
"420","4.6875","4.6875","4.6875","4.75","4.75","4.75"
"421","4.6875","4.6875","4.6875","4.8125","4.8125","4.8125"
"422","4.71875","4.71875","4.71875","4.71875","4.71875","4.71875"
"423","4.65625","4.65625","4.65625","4.75","4.75","4.75"
"424","4.65625","4.65625","4.65625","4.71875","4.71875","4.71875"
"425","4.6875","4.6875","4.6875","4.78125","4.78125","4.78125"
"426","4.6875","4.6875","4.6875","4.75","4.75","4.75"
"427","4.6875","4.6875","4.6875","4.75","4.75","4.75"
"428","4.6875","4.6875","4.6875","4.71875","4.71875","4.71875"
"429","4.65625","4.65625","4.65625","4.71875","4.71875","4.71875"
"430","4.65625","4.65625","4.65625","4.71875","4.71875","4.71875"
