"Step","default vector 8c1 ema zero init - train/lm_loss","default vector 8c1 ema zero init - train/lm_loss__MIN","default vector 8c1 ema zero init - train/lm_loss__MAX","baseline 8c1 - train/lm_loss","baseline 8c1 - train/lm_loss__MIN","baseline 8c1 - train/lm_loss__MAX"
"328","4.625","4.625","4.625","4.59375","4.59375","4.59375"
"329","4.59375","4.59375","4.59375","4.5625","4.5625","4.5625"
"330","4.59375","4.59375","4.59375","4.59375","4.59375","4.59375"
"331","4.59375","4.59375","4.59375","4.59375","4.59375","4.59375"
"332","4.59375","4.59375","4.59375","4.5625","4.5625","4.5625"
"333","4.59375","4.59375","4.59375","4.5625","4.5625","4.5625"
"334","4.5625","4.5625","4.5625","4.53125","4.53125","4.53125"
"335","4.5625","4.5625","4.5625","4.53125","4.53125","4.53125"
"336","4.53125","4.53125","4.53125","4.53125","4.53125","4.53125"
"337","4.53125","4.53125","4.53125","4.53125","4.53125","4.53125"
"338","4.59375","4.59375","4.59375","4.5625","4.5625","4.5625"
"339","4.5625","4.5625","4.5625","4.5625","4.5625","4.5625"
"340","4.5625","4.5625","4.5625","4.53125","4.53125","4.53125"
"341","4.53125","4.53125","4.53125","4.53125","4.53125","4.53125"
"342","4.5625","4.5625","4.5625","4.53125","4.53125","4.53125"
"343","4.5625","4.5625","4.5625","4.53125","4.53125","4.53125"
"344","4.5625","4.5625","4.5625","4.5625","4.5625","4.5625"
"345","4.53125","4.53125","4.53125","4.53125","4.53125","4.53125"
"346","4.53125","4.53125","4.53125","4.53125","4.53125","4.53125"
"347","4.53125","4.53125","4.53125","4.53125","4.53125","4.53125"
"348","4.53125","4.53125","4.53125","4.53125","4.53125","4.53125"
"349","4.53125","4.53125","4.53125","4.46875","4.46875","4.46875"
"350","4.5","4.5","4.5","4.5","4.5","4.5"
"351","4.46875","4.46875","4.46875","4.46875","4.46875","4.46875"
"352","4.53125","4.53125","4.53125","4.46875","4.46875","4.46875"
"353","4.5","4.5","4.5","4.46875","4.46875","4.46875"
"354","4.5","4.5","4.5","4.46875","4.46875","4.46875"
"355","4.46875","4.46875","4.46875","4.46875","4.46875","4.46875"
"356","4.53125","4.53125","4.53125","4.5","4.5","4.5"
"357","4.46875","4.46875","4.46875","4.46875","4.46875","4.46875"
"358","4.5","4.5","4.5","4.46875","4.46875","4.46875"
"359","4.46875","4.46875","4.46875","4.46875","4.46875","4.46875"
"360","4.46875","4.46875","4.46875","4.46875","4.46875","4.46875"
"361","4.46875","4.46875","4.46875","4.4375","4.4375","4.4375"
"362","4.4375","4.4375","4.4375","4.4375","4.4375","4.4375"
"363","4.46875","4.46875","4.46875","4.46875","4.46875","4.46875"
"364","4.4375","4.4375","4.4375","4.4375","4.4375","4.4375"
"365","4.46875","4.46875","4.46875","4.46875","4.46875","4.46875"
"366","4.46875","4.46875","4.46875","4.4375","4.4375","4.4375"
"367","4.4375","4.4375","4.4375","4.4375","4.4375","4.4375"
"368","4.4375","4.4375","4.4375","4.4375","4.4375","4.4375"
"369","4.4375","4.4375","4.4375","4.4375","4.4375","4.4375"
"370","4.46875","4.46875","4.46875","4.46875","4.46875","4.46875"
"371","4.40625","4.40625","4.40625","4.40625","4.40625","4.40625"
"372","4.4375","4.4375","4.4375","4.4375","4.4375","4.4375"
"373","4.40625","4.40625","4.40625","4.46875","4.46875","4.46875"
"374","4.40625","4.40625","4.40625","4.4375","4.4375","4.4375"
"375","4.4375","4.4375","4.4375","4.4375","4.4375","4.4375"
"376","4.4375","4.4375","4.4375","4.40625","4.40625","4.40625"
"377","4.4375","4.4375","4.4375","4.4375","4.4375","4.4375"
"378","4.4375","4.4375","4.4375","4.4375","4.4375","4.4375"
"379","4.4375","4.4375","4.4375","4.4375","4.4375","4.4375"
"380","4.40625","4.40625","4.40625","4.40625","4.40625","4.40625"
"381","4.40625","4.40625","4.40625","4.40625","4.40625","4.40625"
"382","4.40625","4.40625","4.40625","4.40625","4.40625","4.40625"
"383","4.40625","4.40625","4.40625","4.40625","4.40625","4.40625"
"384","4.4375","4.4375","4.4375","4.4375","4.4375","4.4375"
"385","4.40625","4.40625","4.40625","4.40625","4.40625","4.40625"
"386","4.40625","4.40625","4.40625","4.40625","4.40625","4.40625"
"387","4.40625","4.40625","4.40625","4.40625","4.40625","4.40625"
"388","4.40625","4.40625","4.40625","4.40625","4.40625","4.40625"
"389","4.40625","4.40625","4.40625","4.40625","4.40625","4.40625"
"390","4.375","4.375","4.375","4.375","4.375","4.375"
"391","4.375","4.375","4.375","4.40625","4.40625","4.40625"
"392","4.40625","4.40625","4.40625","4.40625","4.40625","4.40625"
"393","4.40625","4.40625","4.40625","4.40625","4.40625","4.40625"
"394","4.40625","4.40625","4.40625","4.40625","4.40625","4.40625"
"395","4.40625","4.40625","4.40625","4.40625","4.40625","4.40625"
"396","4.34375","4.34375","4.34375","4.40625","4.40625","4.40625"
"397","4.34375","4.34375","4.34375","4.46875","4.46875","4.46875"
"398","4.375","4.375","4.375","4.40625","4.40625","4.40625"
"399","4.34375","4.34375","4.34375","4.40625","4.40625","4.40625"
"400","4.3125","4.3125","4.3125","4.40625","4.40625","4.40625"
"401","4.34375","4.34375","4.34375","4.5","4.5","4.5"
"402","4.34375","4.34375","4.34375","4.46875","4.46875","4.46875"
"403","4.34375","4.34375","4.34375","4.46875","4.46875","4.46875"
"404","4.34375","4.34375","4.34375","4.4375","4.4375","4.4375"
"405","4.34375","4.34375","4.34375","4.4375","4.4375","4.4375"
"406","4.34375","4.34375","4.34375","4.46875","4.46875","4.46875"
"407","4.34375","4.34375","4.34375","4.40625","4.40625","4.40625"
"408","4.3125","4.3125","4.3125","4.4375","4.4375","4.4375"
"409","4.3125","4.3125","4.3125","4.40625","4.40625","4.40625"
"410","4.34375","4.34375","4.34375","4.375","4.375","4.375"
"411","4.34375","4.34375","4.34375","4.40625","4.40625","4.40625"
"412","4.3125","4.3125","4.3125","4.40625","4.40625","4.40625"
"413","4.3125","4.3125","4.3125","4.40625","4.40625","4.40625"
"414","4.34375","4.34375","4.34375","4.375","4.375","4.375"
"415","4.34375","4.34375","4.34375","4.375","4.375","4.375"
"416","4.375","4.375","4.375","4.375","4.375","4.375"
"417","4.34375","4.34375","4.34375","4.34375","4.34375","4.34375"
"418","4.34375","4.34375","4.34375","4.34375","4.34375","4.34375"
"419","4.34375","4.34375","4.34375","4.34375","4.34375","4.34375"
"420","4.34375","4.34375","4.34375","4.34375","4.34375","4.34375"
"421","4.34375","4.34375","4.34375","4.34375","4.34375","4.34375"
"422","4.34375","4.34375","4.34375","4.34375","4.34375","4.34375"
"423","4.34375","4.34375","4.34375","4.34375","4.34375","4.34375"
"424","4.3125","4.3125","4.3125","4.3125","4.3125","4.3125"
"425","4.34375","4.34375","4.34375","4.3125","4.3125","4.3125"
"426","4.375","4.375","4.375","4.34375","4.34375","4.34375"
"427","4.34375","4.34375","4.34375","4.34375","4.34375","4.34375"
